symbol,exec_price,shares,commission,slippage,side,value,date,reason
NFLX,33.30464219856262,10.173871767068249,0.33883715897626604,0.01664399909972758,buy,338.83715897626604,2018-04-19,
INTC,44.775248926388855,13.887798904218016,0.6218296529759921,0.02237643624506802,buy,621.8296529759921,2018-04-19,
AMZN,78.09902755737305,798.7428861064013,62.38104267327952,0.03902999877929858,buy,62381.04267327952,2018-04-20,
NFLX,33.20538912200928,-178.97071824147497,5.942792340653662,-0.01661100006103311,sell,5942.792340653661,2018-04-20,
INTC,44.071571205625624,-1297.9896185756436,57.20444189921932,-0.02204680900731404,sell,57204.44189921932,2018-04-20,
AMZN,77.29583592224121,-11.159927555694253,0.8626159292490414,-0.038667251586915086,sell,862.6159292490414,2018-04-23,
NFLX,32.89854341506958,-11.883519534873813,0.39095048334187366,-0.016457500457761398,sell,390.9504833418736,2018-04-23,
AMZN,73.43104412612915,-787.5829585507071,57.83303898232432,0.0,sell,57833.03898232432,2018-04-24,fixed
NFLX,31.253616244316103,-1255.0557959610778,39.22503221217222,0.0,sell,39225.03221217222,2018-04-24,fixed
NFLX,30.24539909362793,-1255.0557959610778,37.95966343361366,0.0,sell,37959.66343361366,2018-04-24,trailing
NFLX,31.93796188545227,1255.0557959610778,40.08392417552086,0.015961000442501927,buy,40083.924175520864,2018-04-24,
NFLX,30.652317629814146,1462.7596894497035,44.836974617100616,0.015318499565122323,buy,44836.97461710061,2018-04-25,
INTC,43.853544976727164,1160.894508082896,50.909339523448836,0.021915814581070947,buy,50909.339523448834,2018-04-25,
NFLX,30.9845,-18.70120397763617,0.5794474546450679,-0.015499999999999403,sell,579.4474546450679,2018-04-26,
INTC,44.14761176939172,-23.71521195036553,1.0469699702135766,-0.02208484830885027,sell,1046.9699702135765,2018-04-26,
NFLX,31.6408125,22.46183372533551,0.7107106693095173,0.01581249999999912,buy,710.7106693095174,2018-04-27,
INTC,46.83397542108891,-39.568321072764775,1.85314177657562,-0.023428702061572437,sell,1853.1417765756198,2018-04-27,
INTC,44.423262366293336,-1097.6109750597657,48.75946032120302,0.0,sell,48759.46032120302,2018-04-30,fixed
AMZN,79.1645625,696.7309218622319,55.15639860944527,0.03956250000000239,buy,55156.39860944527,2018-04-30,
NFLX,31.091446850776673,-115.51176071011787,3.591427768758263,-0.015553500175474966,sell,3591.427768758263,2018-04-30,
AMZN,78.12192261123657,-104.58515084290241,8.170393060433724,-0.03908050155639842,sell,8170.393060433725,2018-05-01,
ADBE,220.88038927459712,227.37470002940043,50.22261225368872,0.11038500213621205,buy,50222.61225368872,2018-05-01,
NFLX,31.020481298446658,-1351.008558487285,41.908935722596205,-0.015517999649045322,sell,41908.9357225962,2018-05-01,
AMZN,79.00947909927369,-592.1457710193295,46.78512891907502,-0.039524501800528355,sell,46785.12891907502,2018-05-02,
ADBE,224.41215305328367,25.73868112806653,5.776072848701331,0.11215000152586185,buy,5776.07284870133,2018-05-02,
NFLX,31.180583415985105,1299.139326471652,40.50792213803606,0.015582500457760773,buy,40507.922138036054,2018-05-02,
ADBE,220.1199995040894,1.8061792137191048,0.39757616762814596,0.11000499725341228,buy,397.5761676281459,2018-05-03,
NFLX,31.243371277809143,-4.764175316121509,0.14884889823415803,-0.01562950038909605,sell,148.84889823415804,2018-05-03,
ADBE,223.77805438995364,-2.8905681573596667,0.6468457183354995,-0.11194499969479921,sell,646.8457183354996,2018-05-04,
NFLX,30.88643579006195,39.09077506102608,1.207374713906137,0.015435500144956649,buy,1207.374713906137,2018-05-04,
ADBE,229.42522328948976,-0.5670509837677571,0.1300957985674425,-0.11476999664304799,sell,130.0957985674425,2018-05-07,
NFLX,32.182901811599734,-41.05478453398973,1.321262099553775,-0.016099500656125088,sell,1321.262099553775,2018-05-07,
ADBE,229.85487549591065,2.4374768414587606,0.5602659359176689,0.11487000274655657,buy,560.2659359176689,2018-05-08,
